@relation mnist
@attribute filename string
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
0_c7.gif.png,7
1000_c9.gif.png,9
1001_c0.gif.png,0
1002_c2.gif.png,2
1003_c5.gif.png,5
1004_c1.gif.png,1
1005_c9.gif.png,9
1006_c7.gif.png,7
1007_c8.gif.png,8
1008_c1.gif.png,1
1009_c0.gif.png,0
100_c6.gif.png,6
1010_c4.gif.png,4
1011_c1.gif.png,1
1012_c7.gif.png,7
1013_c9.gif.png,9
1014_c6.gif.png,6
1015_c4.gif.png,4
1016_c2.gif.png,2
1017_c6.gif.png,6
1018_c8.gif.png,8
1019_c1.gif.png,1
101_c0.gif.png,0
1020_c3.gif.png,3
1021_c7.gif.png,7
1022_c5.gif.png,5
1023_c4.gif.png,4
1024_c4.gif.png,4
1025_c1.gif.png,1
1026_c8.gif.png,8
1027_c1.gif.png,1
1028_c3.gif.png,3
1029_c8.gif.png,8
102_c5.gif.png,5
1030_c1.gif.png,1
1031_c2.gif.png,2
1032_c5.gif.png,5
1033_c8.gif.png,8
1034_c0.gif.png,0
1035_c6.gif.png,6
1036_c2.gif.png,2
1037_c1.gif.png,1
1038_c1.gif.png,1
1039_c7.gif.png,7
103_c4.gif.png,4
1040_c1.gif.png,1
1041_c5.gif.png,5
1042_c3.gif.png,3
1043_c4.gif.png,4
1044_c6.gif.png,6
1045_c9.gif.png,9
1046_c5.gif.png,5
1047_c0.gif.png,0
1048_c9.gif.png,9
1049_c2.gif.png,2
104_c9.gif.png,9
1050_c2.gif.png,2
1051_c4.gif.png,4
1052_c8.gif.png,8
1053_c2.gif.png,2
1054_c1.gif.png,1
1055_c7.gif.png,7
1056_c2.gif.png,2
1057_c4.gif.png,4
1058_c9.gif.png,9
1059_c4.gif.png,4
105_c9.gif.png,9
1060_c4.gif.png,4
1061_c0.gif.png,0
1062_c3.gif.png,3
1063_c9.gif.png,9
1064_c2.gif.png,2
1065_c2.gif.png,2
1066_c3.gif.png,3
1067_c3.gif.png,3
1068_c8.gif.png,8
1069_c3.gif.png,3
106_c2.gif.png,2
1070_c5.gif.png,5
1071_c7.gif.png,7
1072_c3.gif.png,3
1073_c5.gif.png,5
1074_c8.gif.png,8
1075_c1.gif.png,1
1076_c2.gif.png,2
1077_c4.gif.png,4
1078_c4.gif.png,4
1079_c6.gif.png,6
107_c1.gif.png,1
1080_c4.gif.png,4
1081_c9.gif.png,9
1082_c5.gif.png,5
1083_c1.gif.png,1
1084_c0.gif.png,0
1085_c6.gif.png,6
1086_c9.gif.png,9
1087_c5.gif.png,5
1088_c9.gif.png,9
1089_c5.gif.png,5
108_c9.gif.png,9
1090_c9.gif.png,9
1091_c7.gif.png,7
1092_c3.gif.png,3
1093_c8.gif.png,8
1094_c0.gif.png,0
1095_c3.gif.png,3
1096_c7.gif.png,7
1097_c1.gif.png,1
1098_c3.gif.png,3
1099_c6.gif.png,6
109_c4.gif.png,4
10_c0.gif.png,0
1100_c7.gif.png,7
1101_c8.gif.png,8
1102_c5.gif.png,5
1103_c9.gif.png,9
1104_c7.gif.png,7
1105_c9.gif.png,9
1106_c6.gif.png,6
1107_c9.gif.png,9
1108_c6.gif.png,6
1109_c3.gif.png,3
110_c8.gif.png,8
1110_c7.gif.png,7
1111_c4.gif.png,4
1112_c4.gif.png,4
1113_c5.gif.png,5
1114_c3.gif.png,3
1115_c5.gif.png,5
1116_c4.gif.png,4
1117_c7.gif.png,7
1118_c8.gif.png,8
1119_c7.gif.png,7
111_c7.gif.png,7
1120_c8.gif.png,8
1121_c0.gif.png,0
1122_c7.gif.png,7
1123_c6.gif.png,6
1124_c8.gif.png,8
1125_c8.gif.png,8
1126_c7.gif.png,7
1127_c3.gif.png,3
1128_c3.gif.png,3
1129_c1.gif.png,1
112_c3.gif.png,3
1130_c9.gif.png,9
1131_c5.gif.png,5
1132_c2.gif.png,2
1133_c7.gif.png,7
1134_c3.gif.png,3
1135_c5.gif.png,5
1136_c1.gif.png,1
1137_c1.gif.png,1
1138_c2.gif.png,2
1139_c1.gif.png,1
113_c9.gif.png,9
1140_c4.gif.png,4
1141_c7.gif.png,7
1142_c4.gif.png,4
1143_c7.gif.png,7
1144_c5.gif.png,5
1145_c4.gif.png,4
1146_c5.gif.png,5
1147_c4.gif.png,4
1148_c0.gif.png,0
1149_c8.gif.png,8
114_c7.gif.png,7
1150_c3.gif.png,3
1151_c6.gif.png,6
1152_c9.gif.png,9
1153_c6.gif.png,6
1154_c0.gif.png,0
1155_c2.gif.png,2
1156_c7.gif.png,7
1157_c4.gif.png,4
1158_c4.gif.png,4
1159_c4.gif.png,4
115_c4.gif.png,4
1160_c4.gif.png,4
1161_c6.gif.png,6
1162_c6.gif.png,6
1163_c4.gif.png,4
1164_c7.gif.png,7
1165_c9.gif.png,9
1166_c3.gif.png,3
1167_c4.gif.png,4
1168_c5.gif.png,5
1169_c5.gif.png,5
116_c4.gif.png,4
1170_c8.gif.png,8
1171_c7.gif.png,7
1172_c3.gif.png,3
1173_c7.gif.png,7
1174_c2.gif.png,2
1175_c7.gif.png,7
1176_c0.gif.png,0
1177_c2.gif.png,2
1178_c4.gif.png,4
1179_c1.gif.png,1
117_c4.gif.png,4
1180_c1.gif.png,1
1181_c6.gif.png,6
1182_c6.gif.png,6
1183_c9.gif.png,9
1184_c2.gif.png,2
1185_c8.gif.png,8
1186_c7.gif.png,7
1187_c2.gif.png,2
1188_c0.gif.png,0
1189_c1.gif.png,1
118_c9.gif.png,9
1190_c5.gif.png,5
1191_c0.gif.png,0
1192_c9.gif.png,9
1193_c1.gif.png,1
1194_c7.gif.png,7
1195_c0.gif.png,0
1196_c6.gif.png,6
1197_c0.gif.png,0
1198_c8.gif.png,8
1199_c6.gif.png,6
119_c2.gif.png,2
11_c6.gif.png,6
1200_c8.gif.png,8
1201_c1.gif.png,1
1202_c8.gif.png,8
1203_c0.gif.png,0
1204_c3.gif.png,3
1205_c3.gif.png,3
1206_c7.gif.png,7
1207_c2.gif.png,2
1208_c3.gif.png,3
1209_c6.gif.png,6
120_c5.gif.png,5
1210_c2.gif.png,2
1211_c1.gif.png,1
1212_c6.gif.png,6
1213_c1.gif.png,1
1214_c1.gif.png,1
1215_c3.gif.png,3
1216_c7.gif.png,7
1217_c9.gif.png,9
1218_c0.gif.png,0
1219_c8.gif.png,8
121_c4.gif.png,4
1220_c0.gif.png,0
1221_c5.gif.png,5
1222_c4.gif.png,4
1223_c0.gif.png,0
1224_c2.gif.png,2
1225_c8.gif.png,8
1226_c7.gif.png,7
1227_c2.gif.png,2
1228_c9.gif.png,9
1229_c8.gif.png,8
122_c7.gif.png,7
1230_c4.gif.png,4
1231_c0.gif.png,0
1232_c9.gif.png,9
1233_c5.gif.png,5
1234_c8.gif.png,8
1235_c5.gif.png,5
1236_c1.gif.png,1
1237_c2.gif.png,2
1238_c1.gif.png,1
1239_c3.gif.png,3
123_c6.gif.png,6
1240_c1.gif.png,1
1241_c7.gif.png,7
1242_c4.gif.png,4
1243_c5.gif.png,5
1244_c7.gif.png,7
1245_c2.gif.png,2
1246_c0.gif.png,0
1247_c9.gif.png,9
1248_c8.gif.png,8
1249_c8.gif.png,8
124_c7.gif.png,7
1250_c6.gif.png,6
1251_c2.gif.png,2
1252_c5.gif.png,5
1253_c4.gif.png,4
1254_c1.gif.png,1
1255_c9.gif.png,9
1256_c2.gif.png,2
1257_c1.gif.png,1
1258_c5.gif.png,5
1259_c8.gif.png,8
125_c9.gif.png,9
1260_c7.gif.png,7
1261_c0.gif.png,0
1262_c2.gif.png,2
1263_c4.gif.png,4
1264_c4.gif.png,4
1265_c3.gif.png,3
1266_c6.gif.png,6
1267_c8.gif.png,8
1268_c8.gif.png,8
1269_c2.gif.png,2
126_c0.gif.png,0
1270_c4.gif.png,4
1271_c0.gif.png,0
1272_c5.gif.png,5
1273_c0.gif.png,0
1274_c4.gif.png,4
1275_c4.gif.png,4
1276_c7.gif.png,7
1277_c9.gif.png,9
1278_c3.gif.png,3
1279_c4.gif.png,4
127_c5.gif.png,5
1280_c1.gif.png,1
1281_c5.gif.png,5
1282_c9.gif.png,9
1283_c7.gif.png,7
1284_c3.gif.png,3
1285_c5.gif.png,5
1286_c8.gif.png,8
1287_c8.gif.png,8
1288_c0.gif.png,0
1289_c5.gif.png,5
128_c8.gif.png,8
1290_c3.gif.png,3
1291_c3.gif.png,3
1292_c6.gif.png,6
1293_c6.gif.png,6
1294_c0.gif.png,0
1295_c1.gif.png,1
1296_c6.gif.png,6
